file_id	path	start	end	size	magic4	narc_members
237	gfl_font.dat	3098624		2320	10000000	
238	skb.narc	3101184		60336	NARC	6
239	soundstatus.narc	3161600		12164	NARC	4
240	titledemo.narc	3173888		227088	NARC	20
241	wb_sound_data.sdat	3401216		51533312	SDAT	
242	a/0/0/0	54934528		2924	NARC	5
243	a/0/0/1	54937600		54228	NARC	8
244	a/0/0/2	54991872		3054740	NARC	288
245	a/0/0/3	58046976		1603248	NARC	472
246	a/0/0/4	59650560		7889304	NARC	14285
247	a/0/0/5	67539968		39236	NARC	13
248	a/0/0/6	67579392		9042232	NARC	733
249	a/0/0/7	76621824		779916	NARC	1431
250	a/0/0/8	77402112		18199420	NARC	649
251	a/0/0/9	95601664		18620	NARC	255
252	a/0/1/0	95620608		812	NARC	1
253	a/0/1/1	95621632		2823204	NARC	222
254	a/0/1/2	98445312		20556	NARC	1
255	a/0/1/3	98466304		2820	00000000	
256	a/0/1/4	98469376		11946732	NARC	282
257	a/0/1/5	110416384		172	NARC	5
258	a/0/1/6	110416896		46780	NARC	669
259	a/0/1/7	110464000		3348	NARC	8
260	a/0/1/8	110467584		46904	NARC	668
261	a/0/1/9	110514688		34788	NARC	668
262	a/0/2/0	110549504		7852	NARC	650
263	a/0/2/1	110557696		24692	NARC	560
264	a/0/2/2	110582784		3800	NARC	3
265	a/0/2/3	110586880		650120	NARC	8
266	a/0/2/4	111237120		27640	NARC	627
267	a/0/2/5	111264768		565576	NARC	1005
268	a/0/2/6	111830528		22528	NARC	15
269	a/0/2/7	111853056		85968	NARC	17
270	a/0/2/8	111939072		68224	NARC	17
271	a/0/2/9	112007680		79564	NARC	18
272	a/0/3/0	112087552		109492	NARC	35
273	a/0/3/1	112197120		51012	NARC	24
274	a/0/3/2	112248320		60324	NARC	97
275	a/0/3/3	112308736		97944	NARC	33
276	a/0/3/4	112407040		192004	NARC	39
277	a/0/3/5	112599552		7780	NARC	16
278	a/0/3/6	112607744		28172	NARC	14
279	a/0/3/7	112636416		5436	NARC	1
280	a/0/3/8	112642048		636	NARC	1
281	a/0/3/9	112643072		16468	NARC	18
282	a/0/4/0	112659968		195596	NARC	53
283	a/0/4/1	112856064		114144	NARC	33
284	a/0/4/2	112970240		1500	NARC	1
285	a/0/4/3	112971776		175336	NARC	47
286	a/0/4/4	113147392		55112	NARC	12
287	a/0/4/5	113202688		91248	NARC	102
288	a/0/4/6	113294336		92312	NARC	27
289	a/0/4/7	113387008		624420	NARC	80
290	a/0/4/8	114011648		22436	NARC	1
291	a/0/4/9	114034176		3645668	NARC	764
292	a/0/5/0	117680128		4780	NARC	2
293	a/0/5/1	117685248		1672	NARC	9
294	a/0/5/2	117687296		8914092	NARC	14285
295	a/0/5/3	126601728		3296	NARC	19
296	a/0/5/4	126605312		10928	NARC	11
297	a/0/5/5	126616576		8960	NARC	29
298	a/0/5/6	126625792		72308	NARC	44
299	a/0/5/7	126698496		447336	NARC	899
300	a/0/5/8	127145984		8876	NARC	17
301	a/0/5/9	127155200		89292	NARC	18
302	a/0/6/0	127244800		1732	NARC	1
303	a/0/6/1	127246848		44180	NARC	56
304	a/0/6/2	127291392		7932	NARC	10
305	a/0/6/3	127299584		44504	NARC	17
306	a/0/6/4	127344128		51376	NARC	48
307	a/0/6/5	127395840		33436	NARC	2
308	a/0/6/6	127429632		435516	NARC	601
309	a/0/6/7	127865344		47252	NARC	98
310	a/0/6/8	127912960		10968	NARC	3
311	a/0/6/9	127924224		84028	NARC	29
312	a/0/7/0	128008704		24200	NARC	6
313	a/0/7/1	128033280		65652	NARC	39
314	a/0/7/2	128099328		254480	NARC	760
315	a/0/7/3	128354304		51376	NARC	48
316	a/0/7/4	128406016		956	NARC	1
317	a/0/7/5	128407040		488456	NARC	151
318	a/0/7/6	128896000		90200	NARC	29
319	a/0/7/7	128986624		75500	NARC	8
320	a/0/7/8	129062400		170496	NARC	179
321	a/0/7/9	129232896		164308	NARC	34
322	a/0/8/0	129397248		132	NARC	1
323	a/0/8/1	129397760		372	NARC	14
324	a/0/8/2	129398272		848	NARC	2
325	a/0/8/3	129399296		73488	NARC	172
326	a/0/8/4	129473024		5384	NARC	4
327	a/0/8/5	129478656		177788	NARC	21
328	a/0/8/6	129656832		3356	NARC	1
329	a/0/8/7	129660416		168	NARC	1
330	a/0/8/8	129660928		184160	NARC	40
331	a/0/8/9	129845248		42088	NARC	24
332	a/0/9/0	129887744		7108	NARC	1
333	a/0/9/1	129894912		1292	NARC	1
334	a/0/9/2	129896448		17296	NARC	616
335	a/0/9/3	129913856		17144	NARC	616
336	a/0/9/4	129931264		312980	NARC	53
337	a/0/9/5	130244608		1916912	NARC	165
338	a/0/9/6	132161536		52720	NARC	42
339	a/0/9/7	132214272		25232	NARC	2
340	a/0/9/8	132239872		12676	NARC	10
341	a/0/9/9	132252672		12348	NARC	17
342	a/1/0/0	132265472		17712	NARC	20
343	a/1/0/1	132283392		732	NARC	1
344	a/1/0/2	132284416		75088	NARC	31
345	a/1/0/3	132359680		1883984	NARC	64
346	a/1/0/4	134243840		257708	NARC	13
347	a/1/0/5	134501888		5736	NARC	29
348	a/1/0/6	134508032		22864	NARC	20
349	a/1/0/7	134531072		155952	NARC	39
350	a/1/0/8	134687232		10228	NARC	282
351	a/1/0/9	134697472		256	NARC	17
352	a/1/1/0	134697984		33440	NARC	2
353	a/1/1/1	134731776		25144	NARC	6
354	a/1/1/2	134757376		23876	NARC	6
355	a/1/1/3	134781440		24000	NARC	6
356	a/1/1/4	134805504		23876	NARC	6
357	a/1/1/5	134829568		2878656	NARC	183
358	a/1/1/6	137708544		92312	NARC	79
359	a/1/1/7	137801216		2384	NARC	53
360	a/1/1/8	137803776		22348	NARC	11
361	a/1/1/9	137826304		832	NARC	9
362	a/1/2/0	137827328		50508	NARC	5
363	a/1/2/1	137878016		62356	NARC	23
364	a/1/2/2	137940480		31264	NARC	15
365	a/1/2/3	137972224		13140	NARC	650
366	a/1/2/4	137985536		56196	NARC	29
367	a/1/2/5	138041856		131304	NARC	428
368	a/1/2/6	138173440		35284	NARC	112
369	a/1/2/7	138208768		50012	NARC	7
370	a/1/2/8	138258944		56992	NARC	8
371	a/1/2/9	138316288		465644	NARC	12
372	a/1/3/0	138782208		113136	NARC	36
373	a/1/3/1	138895360		693020	NARC	69
374	a/1/3/2	139588608		292	NARC	5
375	a/1/3/3	139589120		52652	NARC	12
376	a/1/3/4	139641856		19509524	NARC	670
377	a/1/3/5	159151616		37260	NARC	28
378	a/1/3/6	159188992		548	NARC	31
379	a/1/3/7	159190016		160984	NARC	108
380	a/1/3/8	159351296		26132	NARC	8
381	a/1/3/9	159377920		52420	NARC	12
382	a/1/4/0	159430656		93668	NARC	7
383	a/1/4/1	159524352		22192	NARC	14
384	a/1/4/2	159546880		342860	NARC	39
385	a/1/4/3	159889920		152488	NARC	28
386	a/1/4/4	160042496		134516	NARC	24
387	a/1/4/5	160177152		43456	NARC	8
388	a/1/4/6	160220672		412	NARC	10
389	a/1/4/7	160221184		192	NARC	3
390	a/1/4/8	160221696		110800	NARC	18
391	a/1/4/9	160332800		92	NARC	1
392	a/1/5/0	160333312		407364	NARC	32
393	a/1/5/1	160740864		109252	NARC	12
394	a/1/5/2	160850432		3740	NARC	3
395	a/1/5/3	160854528		60708	NARC	9
396	a/1/5/4	160915456		3996	NARC	37
397	a/1/5/5	160919552		46844	NARC	48
398	a/1/5/6	160966656		149164	NARC	46
399	a/1/5/7	161116160		51428	NARC	26
400	a/1/5/8	161167872		1100	NARC	5
401	a/1/5/9	161169408		535720	NARC	113
402	a/1/6/0	161705472		11699360	NARC	252
403	a/1/6/1	173405184		3852	NARC	5
404	a/1/6/2	173409280		71316	NARC	19
405	a/1/6/3	173480960		416	NARC	7
406	a/1/6/4	173481472		11596	NARC	5
407	a/1/6/5	173493248		1560	NARC	13
408	a/1/6/6	173495296		448	NARC	9
409	a/1/6/7	173495808		76604	NARC	655
410	a/1/6/8	173572608		37160	NARC	315
411	a/1/6/9	173609984		22876	NARC	951
412	a/1/7/0	173633024		274724	NARC	37
413	a/1/7/1	173907968		44400	NARC	14
414	a/1/7/2	173952512		244544	NARC	27
415	a/1/7/3	174197248		32860	NARC	35
416	a/1/7/4	174230528		3220	NARC	24
417	a/1/7/5	174234112		140	NARC	2
418	a/1/7/6	174234624		1578480	NARC	52
419	a/1/7/7	175813120		1135876	NARC	64
420	a/1/7/8	176949248		168792	NARC	649
421	a/1/7/9	177118208		3652	NARC	50
422	a/1/8/0	177122304		60792	NARC	44
423	a/1/8/1	177183232		138256	NARC	35
424	a/1/8/2	177321984		39072	NARC	11
425	a/1/8/3	177361408		186876	NARC	28
426	a/1/8/4	177548288		69508	NARC	17
427	a/1/8/5	177617920		84	NARC	2
428	a/1/8/6	177618432		468	NARC	7
429	a/1/8/7	177618944		109764	NARC	12
430	a/1/8/8	177729024		11056	NARC	5
431	a/1/8/9	177740288		35084	NARC	11
432	a/1/9/0	177775616		69356	NARC	7
433	a/1/9/1	177845248		20024	NARC	9
434	a/1/9/2	177865728		105128	NARC	23
435	a/1/9/3	177971200		20892	NARC	14
436	a/1/9/4	177992192		7876	NARC	652
437	a/1/9/5	178000384		14408	NARC	14
438	a/1/9/6	178015232		2608	NARC	7
439	a/1/9/7	178018304		152180	NARC	8
440	a/1/9/8	178170880		316	NARC	1
441	a/1/9/9	178171392		5448	NARC	11
442	a/2/0/0	178177024		4312	NARC	3
443	a/2/0/1	178181632		39764	NARC	8
444	a/2/0/2	178221568		109020	NARC	10
445	a/2/0/3	178330624		11276	NARC	4
446	a/2/0/4	178342400		29092	NARC	8
447	a/2/0/5	178371584		291408	NARC	40
448	a/2/0/6	178663424		20228	NARC	4
449	a/2/0/7	178683904		58508	NARC	1
450	a/2/0/8	178742784		1228	NARC	4
451	a/2/0/9	178744320		916	NARC	1
452	a/2/1/0	178745344		11928	NARC	9
453	a/2/1/1	178757632		4588	NARC	1
454	a/2/1/2	178762240		34708	NARC	2
455	a/2/1/3	178797056		3500	NARC	8
456	a/2/1/4	178800640		24052	NARC	1000
457	a/2/1/5	178824704		41780	NARC	315
458	a/2/1/6	178866688		1353488	NARC	52
459	a/2/1/7	180220416		9564	NARC	2
460	a/2/1/8	180230144		9516	NARC	4
461	a/2/1/9	180239872		66120	NARC	10
462	a/2/2/0	180306432		531688	NARC	13
463	a/2/2/1	180838400		23788	NARC	7
464	a/2/2/2	180862464		27956	NARC	6
465	a/2/2/3	180890624		12472	NARC	13
466	a/2/2/4	180903424		228	NARC	4
467	a/2/2/5	180903936		1898452	NARC	151
468	a/2/2/6	182802432		4367532	NARC	174
469	a/2/2/7	187170304		556	NARC	1
470	a/2/2/8	187171328		56140	NARC	6
471	a/2/2/9	187227648		4451172	NARC	52
472	a/2/3/0	191678976		4602664	NARC	64
473	a/2/3/1	196281856		1210248	NARC	73
474	a/2/3/2	197492224		708	NARC	1
475	a/2/3/3	197493248		256	NARC	2
476	a/2/3/4	197493760		5848	NARC	3
477	dl_rom/child2_r_eng.srl	197499904		1369088	SYAC	
478	dl_rom/child_r_eng.srl	198868992		1369088	SYAC	
479	dl_rom/icon_b.char	200238080		512	dddddddd	
480	dl_rom/icon_b.plt	200238592		32	736eda31	
481	dl_rom/icon_w.char	200239104		512	UUUU	
482	dl_rom/icon_w.plt	200239616		32	1FQ!	
483	dwc/utility.bin	200240128		929852	10000000	
