bank_hex,relationship,differing_bytes,difference_ranges,gold_sha256,silver_sha256,gold_nonzero_bytes,silver_nonzero_bytes,gold_entropy,silver_entropy,gold_exact_nonblank_matches,silver_exact_nonblank_matches
0x00,KR_VERSION_SPECIFIC,17,12,cbebaf04154f994afc91c153f49ac7f4207ee5d1c88c347d476e327ba07d06c3,e4524cf337eabcb5f411323c8624cb7a08c2e9a743135f0829a49bfd80b5e83c,15702,15702,7.022099,7.022574,,
0x01,KR_VERSION_SPECIFIC,4415,271,a5b24c986121edbaf2136792a25639c48251de27524a1368126ca6060a20c2ab,6a5eaa6c809dfe5b71a728764d9ed5c12b262aa8cb166c5a534fbc76e21dca73,12213,12163,5.999131,5.978297,,
0x02,KR_VERSION_SPECIFIC,79,38,46a032421118f44eb790794b8ce40153c8336ef6d975d55dcfed09e463124ab0,cd395c348d4df586c954a2d649013223a9ccb28885836464b3850a0d8f82d125,13514,13514,6.587846,6.586492,,
0x03,KR_VERSION_SPECIFIC,21,17,682e4059313e16bc287a092eaa6f35cf068f30885eebb53a3c2805fc356b6a76,a9b1ccf6a5af308ae2e0727346ef00f62c087083e292baab1be7e43e2a6f1d3e,14467,14467,6.831720,6.831274,,
0x04,KR_VERSION_SPECIFIC,9,8,9dd239135685a4e77122cb9057fe34fa8d6a807f108d3e4bbbad37d39f82f2bc,fe3873d3835ba58f3f31fbb7f6dc8ccc1cceb4274f35bde7387dfa08f36e871b,14910,14909,6.848923,6.848466,,
0x05,KR_VERSION_SPECIFIC,1,1,989fba61c7346aa039b9e1858dadf9a0d7dae9e8c5bd5836682af6e7b48fcf93,6cda69847befee93a64053e937aa9d1d2c99e67deb1f73a79843de68bf91b8ed,13733,13733,6.624753,6.624622,,
0x06,KR_SHARED_IDENTICAL,0,0,3d3a2cbc9134885de6c0a0800376074e488d38da31ad28b7d82d155ee2a5c006,3d3a2cbc9134885de6c0a0800376074e488d38da31ad28b7d82d155ee2a5c006,13949,13949,6.135469,6.135469,KR_SILVER:0x06,KR_GOLD:0x06
0x07,KR_SHARED_IDENTICAL,0,0,64a0039366c38d756d8ce9c34a5929e90e5ee53a528ffb65d964e4539c5b65fb,64a0039366c38d756d8ce9c34a5929e90e5ee53a528ffb65d964e4539c5b65fb,14751,14751,6.566004,6.566004,KR_SILVER:0x07,KR_GOLD:0x07
0x08,KR_SHARED_IDENTICAL,0,0,23d53c25382fd9878ab7d79a810bd4e2f3f7ebc711bd03af88c103eaf64b70f7,23d53c25382fd9878ab7d79a810bd4e2f3f7ebc711bd03af88c103eaf64b70f7,14196,14196,6.552928,6.552928,KR_SILVER:0x08,KR_GOLD:0x08
0x09,KR_VERSION_SPECIFIC,1,1,ee2ade4123ffa23a17f507b0872a4bff4a8a0edd22bb63a2e3a8be89c3dbe921,d336a5a6be1e2bb2467cb511b24198dec9e6c3dcb86faf46d9080a825a0f5fb0,14585,14585,6.950230,6.950190,,
0x0A,KR_VERSION_SPECIFIC,274,244,f9c364096569d208680abe36f4f9c12b50d471d39a89470985aa7e1e940c28ad,bda4b83cf5d269f4577d5dee9cedfd29fdb17ecd208ad4a76a033237c9a3749f,15829,15829,7.060147,7.063075,,
0x0B,KR_VERSION_SPECIFIC,2,2,af60176c7f13f89bd8cc6efa4a8dbd80b0209779ede6a890bff147a46373eb36,da170ef76bd171893d34db5cbc99986136b431039d8ec7818e4ba33f7e7c5bb0,2561,2561,1.712937,1.712896,,
0x0C,KR_SHARED_IDENTICAL,0,0,a22dd0b839a1b26e85c6e53a9fec54b54a4ca0fbacb226fa127359a263736d47,a22dd0b839a1b26e85c6e53a9fec54b54a4ca0fbacb226fa127359a263736d47,14146,14146,6.468876,6.468876,KR_SILVER:0x0C JP_GOLD_0:0x0C JP_GOLD_A:0x0C JP_SILVER_0:0x0C JP_SILVER_A:0x0C EN_GOLD:0x0C EN_SILVER:0x0C,KR_GOLD:0x0C JP_GOLD_0:0x0C JP_GOLD_A:0x0C JP_SILVER_0:0x0C JP_SILVER_A:0x0C EN_GOLD:0x0C EN_SILVER:0x0C
0x0D,KR_VERSION_SPECIFIC,1,1,406ca1c56fb39410c14de97f6a517569fe95c221c7df159ab4f64c49701c0fd6,13c4135883c4cf8c3dfcd863a886a9a21ab6574e95b7723d9c83b8e96e81438f,16143,16143,6.878954,6.878997,,
0x0E,KR_SHARED_IDENTICAL,0,0,5f3bc0a0db8b70b7a29f84906536285382d08dd563be9dccc04bf6ee0f488b65,5f3bc0a0db8b70b7a29f84906536285382d08dd563be9dccc04bf6ee0f488b65,12988,12988,6.447283,6.447283,KR_SILVER:0x0E,KR_GOLD:0x0E
0x0F,KR_VERSION_SPECIFIC,5,5,f7b6b3ff1d2f8b8a8afcc6f857a13c753a7c8c49b4a8e6be512d83d28e65482d,d02ed34a882505995575b8c5291e7ad7d73e40fe322807e1ecc86f2844e9938e,15816,15816,7.034725,7.034838,,
0x10,KR_SHARED_IDENTICAL,0,0,740ff00a0e49c90e68a4f805bf7afcf1eb808855e104a11e433ba3acf23fdabb,740ff00a0e49c90e68a4f805bf7afcf1eb808855e104a11e433ba3acf23fdabb,13860,13860,6.802622,6.802622,KR_SILVER:0x10,KR_GOLD:0x10
0x11,KR_VERSION_SPECIFIC,289,205,e1496d07e1eff1542679fe0b3a8f1320fc5b0d4d0c1e803bd6b3f06378c1fe62,fd9c11395cf155a7e95eb354fe6ef26a80b3f123c81d9aab02a01793c4ac8e8e,2541,2539,1.740327,1.741029,,
0x12,KR_VERSION_SPECIFIC,15801,557,a4bc92e1fea906007baffcddde13dcb6f9fbc983b2174d53fdc12b9e9a014d23,cbaae0de4e4a18341c857b07e72194a4e98316578dea2e25b316fae14d41222d,15782,15760,7.202108,7.258782,JP_GOLD_0:0x12 JP_GOLD_A:0x12,JP_SILVER_0:0x12 JP_SILVER_A:0x12
0x13,BOTH_BLANK,0,0,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe,0,0,-0.000000,-0.000000,,
0x14,KR_VERSION_SPECIFIC,5,5,5e0cb900b2260847bd33fec36c1c51f59b8571e58a0c393237537968a04edfd1,535cee92bf76284aa827f8eb27d57a6d787ab70bcba1a2325117ccb4fccc6092,13219,13219,6.601530,6.601140,,
0x15,KR_VERSION_SPECIFIC,16160,215,05c594320b66475a30e95b1a72ad90fa72214eac5a46ab8596745fb3585d0071,9108dcfd4958b7b68441670e10e74da1e166065bb91da886aefae728ce1ce282,15703,15677,7.057159,7.052608,JP_GOLD_0:0x15 JP_GOLD_A:0x15,JP_SILVER_0:0x15 JP_SILVER_A:0x15
0x16,KR_VERSION_SPECIFIC,16134,244,5c88f829576d829c9630431774b53124f384080509fded5657b684cd32b98477,b7978ff71510d1afefb482feb869280db0f00ede2d7a348d08dd1928b90f1dce,15592,15634,7.022225,6.996369,JP_GOLD_0:0x16 JP_GOLD_A:0x16,JP_SILVER_0:0x16 JP_SILVER_A:0x16
0x17,KR_VERSION_SPECIFIC,16125,247,63498484244571f502cb749d2cb6b38741f807e44af2d1b40f141d087e00597e,577f100ddd5ffa3c7d4aaad2c7ede5de7a98252f0f88638b9f6f07a91ad5dc2a,15600,15556,6.985775,6.981373,JP_GOLD_0:0x17 JP_GOLD_A:0x17,JP_SILVER_0:0x17 JP_SILVER_A:0x17
0x18,KR_VERSION_SPECIFIC,16046,305,4f9a37faa50dbd31ff8f2661b905b5f32e785cfa7b59273979944835b7d06bde,641b528ea6d96b5f871c4237f84534c9ba19ecdde6ce62be7e59fb4c1b79dce4,15419,15505,6.899643,6.917953,JP_GOLD_0:0x18 JP_GOLD_A:0x18,JP_SILVER_0:0x18 JP_SILVER_A:0x18
0x19,KR_VERSION_SPECIFIC,16081,264,25da23a56b2377ef819fb399a6851017063233155e379fe4162a48b8619420f9,8db2673b75db5c5f0f8e45e042cf49575b93f42c6bee2adc7210c501e216153f,15512,15496,6.888738,6.897897,JP_GOLD_0:0x19 JP_GOLD_A:0x19,JP_SILVER_0:0x19 JP_SILVER_A:0x19
0x1A,KR_VERSION_SPECIFIC,16079,289,73af9a86398b61f136204ed1edacc7c73bec762b97a06c7fdc943b607b290ef7,920c2c35de4681aeb2baf9357c4445a3d586a0e96e60ebb2c91b41dbf7a1c04f,15614,15561,6.922676,6.905994,JP_GOLD_0:0x1A JP_GOLD_A:0x1A,JP_SILVER_0:0x1A JP_SILVER_A:0x1A
0x1B,KR_VERSION_SPECIFIC,16127,251,4fd0b47c450f66b04faefc64866f8e856ea8b9b015e318cd5bef7028daae5e37,cc8d3b41a887297a6d4be066a234198c5bc6550e1ef4dbce0e364a10fa14dda7,15544,15590,6.926080,6.932647,JP_GOLD_0:0x1B JP_GOLD_A:0x1B,JP_SILVER_0:0x1B JP_SILVER_A:0x1B
0x1C,KR_VERSION_SPECIFIC,15745,301,29f43cc597ecf734e4c360ccafa3588da1c3df8d8a02fb1122cdcfab859d20e4,a1d4c8d59ed174f8e1b45324a8ce383cd8b2650242afe58667f2f170e78ecef4,15565,15562,6.904637,6.929663,JP_GOLD_0:0x1C JP_GOLD_A:0x1C,JP_SILVER_0:0x1C JP_SILVER_A:0x1C
