build,label,cpu_address,rom_offset,kind
KR,PlaceWaitingText,4000,004000,CODE
KR,.Waiting,4025,004025,TEXT
KR,DummyPredef1,4033,004033,CODE
KR,WriteOAMDMACodeToHRAM,4034,004034,CODE
KR,OAMDMACode,4042,004042,CODE copied to HRAM
KR,Facings,404C,00404C,POINTER+OAM DATA
KR,SpriteMovementData,4276,004276,DATA
KR,DeleteMapObject,435A,00435A,CODE / map_objects
KR,MainMenu,5A5B,005A5B,CODE+TEXT/DATA
KR,NewGame,5C4B,005C4B,CODE+TEXT/DATA / intro_menu
KR,ReanchorBGMap_NoOAMUpdate,65F0,0065F0,CODE / init_map
KR,LearnMove,6686,006686,CODE+text commands
KR,CorrectNickErrors,681D,00681D,CODE+validation table
KR,_Multiply,685D,00685D,CODE / math
KR,ItemAttributes,6940,006940,DATA 256x7 bytes
KR,CanObjectMoveInDirection,7040,007040,CODE / npc_movement
KR,GetFirstPokemonHappiness,730C,00730C,CODE+DATA / happiness_egg
KR,GiveShuckle,7481,007481,CODE+TEXT / shuckle
KR,BillsGrandfather,756B,00756B,CODE+DATA / haircut
KR,LastNonZero,75ED,0075ED,END
JP0,PlaceWaitingText,4000,004000,CODE
JP0,.Waiting,4025,004025,TEXT
JP0,DummyPredef1,4031,004031,CODE
JP0,WriteOAMDMACodeToHRAM,4032,004032,CODE
JP0,OAMDMACode,4040,004040,CODE copied to HRAM
JP0,Facings,404A,00404A,POINTER+OAM DATA
JP0,SpriteMovementData,4274,004274,DATA
JP0,DeleteMapObject,4358,004358,CODE / map_objects
JP0,MainMenu,5A4D,005A4D,CODE+TEXT/DATA
JP0,NewGame,5C1A,005C1A,CODE+TEXT/DATA / intro_menu
JP0,ReanchorBGMap_NoOAMUpdate,6718,006718,CODE / init_map
JP0,LearnMove,67AE,0067AE,CODE+text commands
JP0,CorrectNickErrors,6A36,006A36,CODE+validation table
JP0,_Multiply,6A75,006A75,CODE / math
JP0,ItemAttributes,6B58,006B58,DATA 256x7 bytes
