filename,generation,platform,game,market_language,release_id,header_title,header_version,cgb_flag,sgb_flag,cartridge_type,rom_size_code,declared_rom_size,actual_size,bank_count,ram_size_code,header_checksum_valid,global_checksum_valid,sha1,sha256,canonical_library_path,dump_id
Pocket Monsters - Aka (Japan) (Rev A) (SGB Enhanced).gb,GEN-01,GB,RED,JP-JA,JP-JA-HV1,POKEMON RED,1,0x00,0x03,0x03,0x04,524288,524288,32,0x03,True,True,ef74c79cded14204ac79e77f4964d9cb25003120,751abb1fb2b2d6b91dc631fa10ed36bd07f682cb5c3febe6c8f0e3dabc1fae1c,LIBRARY/GEN-01/GB/RED/RELEASES/JP-JA-HV1,PROJECTUPLOAD-ef74c79c
Pocket Monsters - Aka (Japan) (SGB Enhanced).gb,GEN-01,GB,RED,JP-JA,JP-JA-HV0,POKEMON RED,0,0x00,0x03,0x03,0x04,524288,524288,32,0x03,True,True,0623ad12f48c259447980d68bd85ddbf8204b2cd,392ce450d708c8d127aaed7afc20001a48625bd83a5fa5325be82f5c0972ccfa,LIBRARY/GEN-01/GB/RED/RELEASES/JP-JA-HV0,PROJECTUPLOAD-0623ad12
Pocket Monsters - Ao (Japan) (SGB Enhanced).gb,GEN-01,GB,BLUE,JP-JA,JP-JA-HV0,POKEMON BLUE,0,0x00,0x03,0x03,0x04,524288,524288,32,0x03,True,True,0da501e3e5c51ab8fef55b092dcdd7e6b050e424,71a70e5f77c109177d21c998310ffe01a68e8cd2f41e72e7129093b890c7d3d1,LIBRARY/GEN-01/GB/BLUE/RELEASES/JP-JA-HV0,PROJECTUPLOAD-0da501e3
Pocket Monsters - Crystal Version (Japan).gbc,GEN-02,GBC,CRYSTAL,JP-JA,JP-JA-HV0,PM_CRYSTAL,0,0xC0,0x00,0x10,0x06,2097152,2097152,128,0x05,True,True,95127b901bbce2407daf43cce9f45d4c27ef635d,136ada06cb68656b7de475fa4b278d37dbeff8f5257e7dfdf7f4a4aec19a90f3,LIBRARY/GEN-02/CRYSTAL/SOURCE/GBC/CART/JP-JA-HV0,UPLOAD-95127b90
Pocket Monsters - Midori (Japan) (Rev A) (SGB Enhanced).gb,GEN-01,GB,GREEN,JP-JA,JP-JA-HV1,POKEMON GREEN,1,0x00,0x03,0x03,0x04,524288,524288,32,0x03,True,True,4b97cd44aa3f0dd290bfe7b3ac17b7bd8270897b,3f0dc460ca8d06be1c9ac96307c939c0ea7baa366b40c2f1f4ad63242b6c4816,LIBRARY/GEN-01/GB/GREEN/RELEASES/JP-JA-HV1,PROJECTUPLOAD-4b97cd44
Pocket Monsters - Midori (Japan) (SGB Enhanced).gb,GEN-01,GB,GREEN,JP-JA,JP-JA-HV0,POKEMON GREEN,0,0x00,0x03,0x03,0x04,524288,524288,32,0x03,True,True,82c0eef40a5e2423699d9fd8ba15dfaa8b51d196,6576b4e0979e93d4a6fa02db893c294b7aeab3b841b1acc8658bc10b3554f33c,LIBRARY/GEN-01/GB/GREEN/RELEASES/JP-JA-HV0,PROJECTUPLOAD-82c0eef4
Pocket Monsters - Pikachu (Japan) (Rev 0A) (SGB Enhanced).gb,GEN-01,GB,YELLOW,JP-JA,JP-JA-HV0,POKEMON YELLOW,0,0x00,0x03,0x13,0x05,1048576,1048576,64,0x03,True,True,1fb6c264e950d97ce3fd99b347e485b2150df4ff,09a083624c4f84ccae99165d4091e7c5403aaf9ae44329a9349b4d59b4095436,LIBRARY/GEN-01/GB/YELLOW/RELEASES/JP-JA-HV0,PROJECTUPLOAD-1fb6c264
Pocket Monsters - Pikachu (Japan) (Rev B) (SGB Enhanced).gb,GEN-01,GB,YELLOW,JP-JA,JP-JA-HV1,POKEMON YELLOW,1,0x00,0x03,0x13,0x05,1048576,1048576,64,0x03,True,True,28e4b8531ea4ea1de5a396fccb0cfba51b06b149,1acab20d1aa3e19c081abaac3e303c4cf3e582213937acbf25942b31c28aecfe,LIBRARY/GEN-01/GB/YELLOW/RELEASES/JP-JA-HV1,PROJECTUPLOAD-28e4b853
Pocket Monsters - Pikachu (Japan) (Rev C) (SGB Enhanced).gb,GEN-01,GB,YELLOW,JP-JA,JP-JA-HV2,POKEMON YELLOW,2,0x00,0x03,0x13,0x05,1048576,1048576,64,0x03,True,True,91864ecdf26d1c593bde4d9ed615520eb57d5e41,2c67561f6b2de4ca3a1150f04dc736aead4bf7b5a98ce38196cef899a91be2fd,LIBRARY/GEN-01/GB/YELLOW/RELEASES/JP-JA-HV2,PROJECTUPLOAD-91864ecd
Pocket Monsters - Pikachu (Japan) (Rev D) (SGB Enhanced).gb,GEN-01,GB,YELLOW,JP-JA,JP-JA-HV3,POKEMON YELLOW,3,0x00,0x03,0x13,0x05,1048576,1048576,64,0x03,True,True,a40298a8123613ee60cd7aab204d788b8425976e,1349408f328f633b33e059e654edabd19810530df9c883eda03a85d5bb10161a,LIBRARY/GEN-01/GB/YELLOW/RELEASES/JP-JA-HV3,PROJECTUPLOAD-a40298a8
Pocket Monsters Eun (Korea).gbc,GEN-02,GBC,SILVER,KR-KO,KR-KO-HV0,POKEMON_SLVAAXK�,0,0xC0,0x00,0x10,0x06,2097152,2097152,128,0x03,True,True,cb22d7e03a74dc3a563fde6be8626626b2b392e7,ebbac63c0c4309c82dbb6723e7163369784f962b4fd3e2f486075307c3008a22,LIBRARY/GEN-02/GBC/SILVER/RELEASES/KR-KO-HV0,PROJECTUPLOAD-cb22d7e0
Pocket Monsters Geum (Korea).gbc,GEN-02,GBC,GOLD,KR-KO,KR-KO-HV0,POKEMON_GLDAAUK�,0,0xC0,0x00,0x10,0x06,2097152,2097152,128,0x03,True,True,c0ff3999e1093e1af59ef3eea3f1bfd7c1f18a65,9c273e86e6120c6a038160ccb0153b8b20425b84fc08a496281c1d1bcac492f6,LIBRARY/GEN-02/GBC/GOLD/RELEASES/KR-KO-HV0,PROJECTUPLOAD-c0ff3999
Pocket Monsters Gin (Japan) (Rev A).gbc,GEN-02,GBC,SILVER,JP-JA,JP-JA-HV1,POKEMON_SLVAAXJ�,1,0x80,0x03,0x10,0x05,1048576,1048576,64,0x03,True,True,a11d5ddc26eb826086593f82370b15d16404d33e,99e5267fbf5a7748d4f3b75ba1990cb5d91348339468607a04bfbc6081c62d71,LIBRARY/GEN-02/GBC/SILVER/RELEASES/JP-JA-HV1,PROJECTUPLOAD-a11d5ddc
Pocket Monsters Gin (Japan).gbc,GEN-02,GBC,SILVER,JP-JA,JP-JA-HV0,POKEMON_SLVAAXJ�,0,0x80,0x03,0x10,0x05,1048576,1048576,64,0x03,True,True,fa8c51059c1642faa570db56ef089f54d1d2011f,0a532063a3ff5750a464582aa7bbee2b6d42e1a92a136d9f4590e373487b615c,LIBRARY/GEN-02/GBC/SILVER/RELEASES/JP-JA-HV0,PROJECTUPLOAD-fa8c5105
Pocket Monsters Kin (Japan) (Rev A).gbc,GEN-02,GBC,GOLD,JP-JA,JP-JA-HV1,POKEMON_GLDAAUJ�,1,0x80,0x03,0x10,0x05,1048576,1048576,64,0x03,True,True,a222402235d484ee8e39f3f31bae57cf13daf585,27a07a1d3faf9c6a0b1b60d5e88ee3a4159a751a47b4c46ab09f1202d52bac3e,LIBRARY/GEN-02/GBC/GOLD/RELEASES/JP-JA-HV1,PROJECTUPLOAD-a2224022
Pocket Monsters Kin (Japan).gbc,GEN-02,GBC,GOLD,JP-JA,JP-JA-HV0,POKEMON_GLDAAUJ�,0,0x80,0x03,0x10,0x05,1048576,1048576,64,0x03,True,True,8814f1039450a5d3684b1389f588ccd7ee7c3436,7cfeceae00737a1f0713c9ab0b3a9e6eb8d05ff6002eb81308072a6f85e385e7,LIBRARY/GEN-02/GBC/GOLD/RELEASES/JP-JA-HV0,PROJECTUPLOAD-8814f103
"Pokemon - Blue Version (USA, Europe) (SGB Enhanced).gb",GEN-01,GB,BLUE,US-EU-EN,US-EU-EN-HV0,POKEMON BLUE,0,0x00,0x03,0x13,0x05,1048576,1048576,64,0x03,True,True,d7037c83e1ae5b39bde3c30787637ba1d4c48ce2,2a951313c2640e8c2cb21f25d1db019ae6245d9c7121f754fa61afd7bee6452d,LIBRARY/GEN-01/GB/BLUE/RELEASES/US-EU-EN-HV0,PROJECTUPLOAD-d7037c83
