family,pokemon_id,species_number,resource_id,config_form_index,config_variant_index,game_form,game_gender,normal_shiny_role,icon_path,animation_name_count,animation_file_count,animation_names_sha256,has_default_wait,has_battle_wait,has_attack,has_damage,has_eye_track,has_mouth_track,source_config_path,source_config_sha256,source_repo,source_commit,source_status,canonical_source_status,consistency_flags
LZA,pm0000,0,pm0000_00_00,0,0,UNRESOLVED,UNRESOLVED,UNRESOLVED,icon/pm0000_00_00_00_0.png,3,6,034e9a21c0311ddf8bbe4768df5523e9d118327b8a7076aa0aa114e48de10814,True,False,False,False,False,False,assets/local/configs/LZA/pm0000.json,5deddbbb25054c39829adc76d179f36cf22e5a57b6eb1480dd9ef86d6a16d702,freedom12/PokemonModelViewer,c5952930343748e6dcb4cae21ee383e0bd13b75c,public-derived-model-viewer-config-not-game-native-catalog,CROSSCHECK_PENDING,
LZA,pm0001,1,pm0001_00_00,0,0,UNRESOLVED,UNRESOLVED,UNRESOLVED,icon/pm0001_00_00_00_0.png,59,118,c5e5e7d2af5dab2470b21f2652b27c6dc2e3bd38a0315b5b1971c1bcd452ea5f,True,True,True,True,True,False,assets/local/configs/LZA/pm0001.json,5d1ea81a39788fe8c0ece56c2d91fa003c38f3561e49d8c4e9b7ea33306054a0,freedom12/PokemonModelViewer,c5952930343748e6dcb4cae21ee383e0bd13b75c,public-derived-model-viewer-config-not-game-native-catalog,CROSSCHECK_PENDING,
LZA,pm0002,2,pm0002_00_00,0,0,UNRESOLVED,UNRESOLVED,UNRESOLVED,icon/pm0002_00_00_00_0.png,59,118,c5e5e7d2af5dab2470b21f2652b27c6dc2e3bd38a0315b5b1971c1bcd452ea5f,True,True,True,True,True,False,assets/local/configs/LZA/pm0002.json,5d7131f4a950227dd4a135f3a036ed982bb35f72942d0a11966c0768984ad646,freedom12/PokemonModelViewer,c5952930343748e6dcb4cae21ee383e0bd13b75c,public-derived-model-viewer-config-not-game-native-catalog,CROSSCHECK_PENDING,
LZA,pm0003,3,pm0003_00_00,0,0,UNRESOLVED,UNRESOLVED,UNRESOLVED,icon/pm0003_00_00_00_0.png,57,114,d63ebf1b1a96a8057500cd4c18a3a089cada6c7cca15afb4e6961cd2d133275e,True,True,True,True,True,False,assets/local/configs/LZA/pm0003.json,0dc53521d114f5211748aeb2c5afe641578f9e7de03abf815644bfea1d2670a1,freedom12/PokemonModelViewer,c5952930343748e6dcb4cae21ee383e0bd13b75c,public-derived-model-viewer-config-not-game-native-catalog,CROSSCHECK_PENDING,
LZA,pm0003,3,pm0003_01_00,1,0,UNRESOLVED,UNRESOLVED,UNRESOLVED,icon/pm0003_01_00_00_0.png,57,114,d63ebf1b1a96a8057500cd4c18a3a089cada6c7cca15afb4e6961cd2d133275e,True,True,True,True,True,False,assets/local/configs/LZA/pm0003.json,0dc53521d114f5211748aeb2c5afe641578f9e7de03abf815644bfea1d2670a1,freedom12/PokemonModelViewer,c5952930343748e6dcb4cae21ee383e0bd13b75c,public-derived-model-viewer-config-not-game-native-catalog,CROSSCHECK_PENDING,
LZA,pm0003,3,pm0003_51_00,51,0,UNRESOLVED,UNRESOLVED,UNRESOLVED,icon/pm0003_51_00_00_0.png,43,86,3914f19de02c73b58d156a0de1613ac7b10c30af81648fcea72da8c274dadcc2,False,True,True,True,True,False,assets/local/configs/LZA/pm0003.json,0dc53521d114f5211748aeb2c5afe641578f9e7de03abf815644bfea1d2670a1,freedom12/PokemonModelViewer,c5952930343748e6dcb4cae21ee383e0bd13b75c,public-derived-model-viewer-config-not-game-native-catalog,CROSSCHECK_PENDING,
LZA,pm0004,4,pm0004_00_00,0,0,UNRESOLVED,UNRESOLVED,UNRESOLVED,icon/pm0004_00_00_00_0.png,59,118,42777fa45a4765d23a7cf75da2345d7e5f969ca694c997fb6db3ff9d014a9637,True,True,True,True,True,False,assets/local/configs/LZA/pm0004.json,2cfb5f7419b2143b63f039f28806cbcec321a7efd2a721d8e1fa42dbe9820c34,freedom12/PokemonModelViewer,c5952930343748e6dcb4cae21ee383e0bd13b75c,public-derived-model-viewer-config-not-game-native-catalog,CROSSCHECK_PENDING,
LZA,pm0005,5,pm0005_00_00,0,0,UNRESOLVED,UNRESOLVED,UNRESOLVED,icon/pm0005_00_00_00_0.png,60,120,e24218dac357edd147450812127769bda06f3fc1161534af8136a96e5c4897f3,True,True,True,True,True,False,assets/local/configs/LZA/pm0005.json,be39ac97a391096975ddf7bf68dfacba123fdb3b7471224e9285f42ab53410ef,freedom12/PokemonModelViewer,c5952930343748e6dcb4cae21ee383e0bd13b75c,public-derived-model-viewer-config-not-game-native-catalog,CROSSCHECK_PENDING,
LZA,pm0006,6,pm0006_00_00,0,0,UNRESOLVED,UNRESOLVED,UNRESOLVED,icon/pm0006_00_00_00_0.png,114,228,e51b9ff4b32b7c00d62a9f4e920bc864130064f8e26f4f1b4c5468752bc5466a,True,True,True,True,True,False,assets/local/configs/LZA/pm0006.json,c344b9514df92645b28253dfd154bad9b4b03d5f07ae14eda4954221dae41731,freedom12/PokemonModelViewer,c5952930343748e6dcb4cae21ee383e0bd13b75c,public-derived-model-viewer-config-not-game-native-catalog,CROSSCHECK_PENDING,
LZA,pm0006,6,pm0006_51_00,51,0,UNRESOLVED,UNRESOLVED,UNRESOLVED,icon/pm0006_51_00_00_0.png,78,156,61ec324dfd9ea12ee34fcd20fcf8452a779ac17a2f79712a4c6dd2cf73f0a116,False,True,True,True,True,False,assets/local/configs/LZA/pm0006.json,c344b9514df92645b28253dfd154bad9b4b03d5f07ae14eda4954221dae41731,freedom12/PokemonModelViewer,c5952930343748e6dcb4cae21ee383e0bd13b75c,public-derived-model-viewer-config-not-game-native-catalog,CROSSCHECK_PENDING,
