filename,back_diff_count,footprints_diff_count,front_diff_count,iconidx_diff_count,iconpals_diff_count,icons_diff_count,normal_diff_count,objects_diff_count,shiny_diff_count,trainer_back_diff_count,trainer_back_pal_diff_count,trainer_front_diff_count,trainer_front_pal_diff_count
Pocket Monsters - Ruby (Japan).gba,0,0,0,0,3,1,1,0,1,0,0,4,0
Pokemon - Edicion Rubi (Spain) (Rev 1).gba,0,0,0,0,0,0,0,0,0,0,0,0,0
Pokemon - Edicion Rubi (Spain).gba,0,0,0,0,0,0,0,0,0,0,0,0,0
Pokemon - Rubin-Edition (Germany) (Debug Version).gba,0,0,0,0,0,0,0,0,0,0,0,0,0
Pokemon - Rubin-Edition (Germany) (Rev 1).gba,0,0,0,0,0,0,0,0,0,0,0,0,0
Pokemon - Rubin-Edition (Germany).gba,0,0,0,0,0,0,0,0,0,0,0,0,0
Pokemon - Ruby Version (Europe) (Rev 1).gba,0,0,0,0,0,0,0,0,0,0,0,0,0
Pokemon - Ruby Version (USA).gba,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pokemon - Ruby Version (USA, Europe) (Rev 2).gba",0,0,0,0,0,0,0,0,0,0,0,0,0
Pokemon - Version Rubis (France) (Rev 1).gba,0,0,0,0,0,0,0,0,0,0,0,0,0
Pokemon - Version Rubis (France).gba,0,0,0,0,0,0,0,0,0,0,0,0,0
Pokemon - Versione Rubino (Italy) (Rev 1).gba,0,0,0,0,0,0,0,0,0,0,0,0,0
Pokemon - Versione Rubino (Italy).gba,0,0,0,0,0,0,0,0,0,0,0,0,0
