release_a,release_b,common_bytes,differing_bytes_common_range,identical_bytes_common_range,common_banks,identical_banks_same_index,size_delta_bytes
JP-JA-HV0,JP-JA-HV1,524288,46167,478121,32,1,0
JP-JA-HV0,US-EU-EN-HV0,524288,442417,81871,32,1,524288
JP-JA-HV0,EU-DE-HV0,524288,442366,81922,32,1,524288
JP-JA-HV0,EU-FR-HV0,524288,442441,81847,32,1,524288
JP-JA-HV0,EU-IT-HV0,524288,442427,81861,32,1,524288
JP-JA-HV0,EU-ES-HV0,524288,442221,82067,32,1,524288
JP-JA-HV1,US-EU-EN-HV0,524288,442456,81832,32,1,524288
JP-JA-HV1,EU-DE-HV0,524288,442403,81885,32,1,524288
JP-JA-HV1,EU-FR-HV0,524288,442564,81724,32,1,524288
JP-JA-HV1,EU-IT-HV0,524288,442438,81850,32,1,524288
JP-JA-HV1,EU-ES-HV0,524288,442352,81936,32,1,524288
US-EU-EN-HV0,EU-DE-HV0,1048576,269925,778651,64,20,0
US-EU-EN-HV0,EU-FR-HV0,1048576,267165,781411,64,20,0
US-EU-EN-HV0,EU-IT-HV0,1048576,258417,790159,64,20,0
US-EU-EN-HV0,EU-ES-HV0,1048576,278533,770043,64,20,0
EU-DE-HV0,EU-FR-HV0,1048576,276381,772195,64,20,0
EU-DE-HV0,EU-IT-HV0,1048576,268149,780427,64,20,0
EU-DE-HV0,EU-ES-HV0,1048576,280097,768479,64,20,0
EU-FR-HV0,EU-IT-HV0,1048576,257456,791120,64,20,0
EU-FR-HV0,EU-ES-HV0,1048576,274126,774450,64,20,0
EU-IT-HV0,EU-ES-HV0,1048576,263356,785220,64,20,0
