release_id,bank_dec,bank_hex,offset_start,offset_end_exclusive,sha256,non_ff_bytes,non_00_bytes,unique_byte_values
EU-ES-HV0,0,0x00,0x000000,0x004000,f994cf96e7036f90568e1a11fa1a6e24c93907dc7aafd34618555a3867a03815,16225,15851,256
EU-ES-HV0,1,0x01,0x004000,0x008000,2f9f52a55ac24ed4fe7776302fa4bdf36b492db84006ae80262dc9dc83ca4291,16290,14969,256
EU-ES-HV0,2,0x02,0x008000,0x00C000,a1a4e68cfb521d12bb9b36c1fb032207a697e03b9db90cb9348981695bcbc535,16129,15988,254
EU-ES-HV0,3,0x03,0x00C000,0x010000,b06fbdffa987e5b28bb4128634fdc379d102e10741652179b452c51a0336559b,16125,15094,256
EU-ES-HV0,4,0x04,0x010000,0x014000,047296f81b58811f20d9ea6ef2c0ea7f460a53e931a581967d786a422e521826,16017,12662,256
EU-ES-HV0,5,0x05,0x014000,0x018000,04ea0d1e2cd48d0ca6d397d78ff0843aa280bc63876379d4062ecab0340ba27b,16207,15406,253
EU-ES-HV0,6,0x06,0x018000,0x01C000,f1552c16f5def3fdfaca4ed4f1b79f10028998051913f4ce95693b1526a325d8,16235,9832,255
EU-ES-HV0,7,0x07,0x01C000,0x020000,f4ac73c0cf085d6c967daa738aa2aa5190dee6ab88586b07a8b593bc6b8a88ab,16161,11270,256
EU-ES-HV0,8,0x08,0x020000,0x024000,d254863d9f991c1ab9c69d6275e33a47a56919bc6131f31f7f0ad5f2aed34280,16099,15922,256
EU-ES-HV0,9,0x09,0x024000,0x028000,e5bc40ea0cac20ce6ec088671a5c52e05c0258017b72ad9008f6056e1b556a48,16150,16317,256
EU-ES-HV0,10,0x0A,0x028000,0x02C000,3ea1e7412426dec2f5eba35fa13431b42fc197c92b048c0294b8361994b40839,16129,16114,256
EU-ES-HV0,11,0x0B,0x02C000,0x030000,539c4475e506a32072ad4654b45be89a08f8ed5907c48ffe10283a707b6ece6c,16053,15746,256
EU-ES-HV0,12,0x0C,0x030000,0x034000,6269bd77c97593875b5680ab7c0e55c7e9a332fcd6a6e75796ad541adce2d17c,16104,16261,256
EU-ES-HV0,13,0x0D,0x034000,0x038000,b3895d03beb10838116717ca930955198eda974404e248608ccf1c6fe8f428be,15984,15762,256
EU-ES-HV0,14,0x0E,0x038000,0x03C000,745232a4675b7605df3b48d38360c7dc48fde8e9fd96e0b69ebd3ad48f1b4723,16013,13339,255
EU-ES-HV0,15,0x0F,0x03C000,0x040000,718d01dff05fc1b9699cf95511c34b5ee3e8e7265d08c65c0f726e85fe249367,16333,15109,256
EU-ES-HV0,16,0x10,0x040000,0x044000,81da76d703dc88d3d00fa9c4092c64d65e429457c0d49f93fd98820f2a847ad1,15958,8641,255
