release_a,release_b,size_a,size_b,compared_bytes,different_bytes_in_overlap,size_delta,equal_bank_count_in_overlap,equal_bank_indices
EU-ES-HV0,EU-FR-HV0,1048576,1048576,1048576,274027,0,20,27 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63
EU-ES-HV0,JP-JA-HV0,1048576,524288,524288,295595,-524288,1,27
EU-ES-HV0,US-EU-EN-HV0,1048576,1048576,1048576,265135,0,20,27 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63
EU-ES-HV0,EU-DE-HV0,1048576,1048576,1048576,280172,0,20,27 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63
EU-ES-HV0,EU-IT-HV0,1048576,1048576,1048576,264060,0,20,27 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63
EU-FR-HV0,JP-JA-HV0,1048576,524288,524288,308897,-524288,1,27
EU-FR-HV0,US-EU-EN-HV0,1048576,1048576,1048576,280224,0,20,27 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63
EU-FR-HV0,EU-DE-HV0,1048576,1048576,1048576,275774,0,20,27 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63
EU-FR-HV0,EU-IT-HV0,1048576,1048576,1048576,270164,0,20,27 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63
JP-JA-HV0,US-EU-EN-HV0,524288,1048576,524288,295428,524288,1,27
JP-JA-HV0,EU-DE-HV0,524288,1048576,524288,308811,524288,1,27
JP-JA-HV0,EU-IT-HV0,524288,1048576,524288,308036,524288,1,27
US-EU-EN-HV0,EU-DE-HV0,1048576,1048576,1048576,283051,0,20,27 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63
US-EU-EN-HV0,EU-IT-HV0,1048576,1048576,1048576,270592,0,20,27 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63
EU-DE-HV0,EU-IT-HV0,1048576,1048576,1048576,280512,0,20,27 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63
