bank_hex,bank_index,offset_start_hex,size_bytes,sha256
00,0,0x000000,16384,a6bf86bb89ef9e78fd10a16312de22652108f35b61c0ab724b1869c8c1137dc7
01,1,0x004000,16384,94a56716a66bdb48beb1e8b7a828b9167edc7427975a49fe4eb69b33a9c56094
02,2,0x008000,16384,ca2f8612f3db4c8c2cc743a7c6fb09a9c9ccd19ea5d29ee35dee65fe98673d85
03,3,0x00C000,16384,fa4c1da58f2dec6cf83c8a8f8cc53892d716a50c8c26142c203b4fc3315ac27b
04,4,0x010000,16384,871e99703184b14c40a92e99a9a98b3295b0e631e48b44331f32a7106a900810
05,5,0x014000,16384,b1d7740131b3f8341e023185dbc7329b978ba2199353777f618760d258a4923d
06,6,0x018000,16384,890680858724fd2347b20b6c5745fc56a7b1333388577cdef5f1790d6d27749e
07,7,0x01C000,16384,3e932d2a8d942928f2464598a519a4c9cc813bcfc82ae5d37ef2e8612d61fd19
08,8,0x020000,16384,d6f87234b4467b84967276bc13747277d04d0c7ab3ed2ac01da3a770aab08e26
09,9,0x024000,16384,7d37b85eaa9d991212fa2457eee538a2dfbf2191e6f8003f82d3da74d21314fe
0A,10,0x028000,16384,5d5b1bda6062e7e79e0974ee8f21f3a3b327ca17a3b031f118b7a523a053eaec
0B,11,0x02C000,16384,31a21a136538f700499e45ad7c4438de304f41750940bb2960efea19ed77c646
0C,12,0x030000,16384,a22dd0b839a1b26e85c6e53a9fec54b54a4ca0fbacb226fa127359a263736d47
0D,13,0x034000,16384,d9b5e7f50db3b574a5879f53033f49097004a77f58c16f33875a1bde06dcc0d9
0E,14,0x038000,16384,a6dc90564fa9a800a954e316867095cfe8df175197285daee294947e23203fae
0F,15,0x03C000,16384,29f120c5c5857a157a48d4ed1879587b4267a532edecaf99698915a1f324cf14
10,16,0x040000,16384,58b3e1c7539d9bb37d728db1fa96cc1f1f3e9987d20cc2176fdd8063518346d7
11,17,0x044000,16384,e77f55d7d7f6172abfee4c3b33d25be7ace6a588eb929078135d124a65522fdf
12,18,0x048000,16384,43096be9cdcad3338c9a02f13c8ddcbeab93bb10fdee8cb3dc2ebf568c4da44a
13,19,0x04C000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
14,20,0x050000,16384,b3ecd7ca8c91f7b026246c3aefd9131e77ba074dc3a0f7212db38f432d70ed2f
15,21,0x054000,16384,a0deb2987e30da8dd01516ccf2ea3ed3c01e14943911ec2b4cd9f890162bf3c3
16,22,0x058000,16384,a802c16daddbe0d5e96c98dd6d46940c344997ba548dd9b116a35dd89d215983
17,23,0x05C000,16384,b00faa3dc29234a940c6dc8ea8a6f2ba0c1d90e184d32c30e0c9c6beb49a6abc
18,24,0x060000,16384,cb72c4b00fe41dec9e0f806011da24f50ce8792cc56801a9136ce2023c536830
19,25,0x064000,16384,e178018c2d4ce64ff84b966ab22d54cffe8f6cf0ac52318d1fa9a9303b5d498a
1A,26,0x068000,16384,4ec670941a64598ed462856488dbe40da1698c674bfa4c437ad7bae417b4300a
1B,27,0x06C000,16384,2ccb250102cf973783a1a26beb151fb66c995e39f64669c2130acf458ac50f15
1C,28,0x070000,16384,7c941d0ab4c5a09cf014c72ec44fdebaf7a9c5b46bb4ba478516affac01e3791
1D,29,0x074000,16384,b3335f8aa8ea2686e4ebea61b142c22d65e9ef3e480955fabfbcf60d311796b3
1E,30,0x078000,16384,223c7b6d9d94f9822d56b22c80cf08df6396c87c7a986aaca6d2a160e78ca7d1
1F,31,0x07C000,16384,7d57d15094a9c038ca1b9acf2e32de6d5d3543c4e9a5795038bee146484d3d4e
20,32,0x080000,16384,f8af484ac6fc27e07c2f579ebdc02172727124258a758e530e8f332f43775452
21,33,0x084000,16384,f7edbf00b03d23a5d5396493dbd1e0e7af0a4f513bc60f491275fbe1470844e1
22,34,0x088000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
23,35,0x08C000,16384,82baf41d0ca94edd0f0a364956eedd181a0112467bacf0e901665464578362b6
24,36,0x090000,16384,33c889ac24c0b2a67f1009c89d836a871e2642daa191a2cbeb7df4d567eb1b93
25,37,0x094000,16384,664e11e2517a18339cb65aebbc05cbdd24ce43f788d0c747835d718157c45996
26,38,0x098000,16384,4b3bb2b8231a22bb341f78f89e122094640b4bd529b97c75636e0e2a970c8069
27,39,0x09C000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
28,40,0x0A0000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
29,41,0x0A4000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
2A,42,0x0A8000,16384,d3e7c5b2611ead5571d43c4d0881de81cc1547e29d5aaa5e5c0696733c4e85bc
2B,43,0x0AC000,16384,a60a9c343221efff4ed426bd310d46261a030a6824071944d081905eb7074057
2C,44,0x0B0000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
2D,45,0x0B4000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
2E,46,0x0B8000,16384,ac9ffbf2a07da065b688f27ca79798bf73e9f470aa71dbd3e130656726cb731f
2F,47,0x0BC000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
30,48,0x0C0000,16384,4a4bf9ecbb1b7a8fc36687f4d3a7428464d12353c17c27f096fa5e6bd2229ef5
31,49,0x0C4000,16384,4dc184f428341aa0ecd0be5d387f3ab1944c6563ed563720a687978dc8b2e452
32,50,0x0C8000,16384,3d0e9525ba3f82cf8cea30312d05c404c39430b7da8a016f0fba9adbbbf70b73
33,51,0x0CC000,16384,849aaf5d33fda63feece5700717b8a6bed60922404b20e7311964544db397490
34,52,0x0D0000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
35,53,0x0D4000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
36,54,0x0D8000,16384,f76f6aff48996c5d7c72f25912ab92500bc058b5c1ae61bc457dd60e0e1fe7c9
37,55,0x0DC000,16384,88f10cbfed5b30c41f4ccf66a44716609a1237d81f7e592ddd893a25deeb4233
38,56,0x0E0000,16384,0db8c3e91db4110b35ffc4240f3e5ff3ce630a6b179a965eef653244a6ba84a1
39,57,0x0E4000,16384,157dc82745bef70a3c28bcf4a159ccb0e0a166bfb3a0323befd51b316859fda5
3A,58,0x0E8000,16384,5feaa69171c8e5b174f58d6a67d8a2e666a2179b0c7df3534e282e65602a4e79
3B,59,0x0EC000,16384,68e6906258ba11cae661dadce943da3fa017c9cf71e3a30ab25d0add58968a68
3C,60,0x0F0000,16384,ba4fd7eb676c460e49148b570a47fcd00ba137826c66f967e9da36012bacfdd4
3D,61,0x0F4000,16384,c949b705d2cfbb923ff2af60f19fd9c47452f1e654c0ac56bb35e7429c9ad6ed
3E,62,0x0F8000,16384,867df240802cf9408d6930d6fc83dcaa1bc5391b40faaed7cea9fecc00164932
3F,63,0x0FC000,16384,cdcde1e3293194405b0a1a30b0250f172eadd027309d2d47f001c3317a5a6882
40,64,0x100000,16384,2c8d76ebc71bfef6e980b9be0c0e613eacb65493d58f5ea63e2a17a704bcc771
41,65,0x104000,16384,80521407d951417a948cdc85ce2badadb6e7b7f82375f476bc065c8e7f3862c3
42,66,0x108000,16384,b0115b256f37774e35d637f2212dfb80c94ac62898fc542d52745696ac7fe122
43,67,0x10C000,16384,6496bb8b40bdf0c32593ae52c743525581d2cca05fd633f3c6db64fa49bba669
44,68,0x110000,16384,b84f39d05ac3d5797dff0bd0aca1a6165ad9733fe3f1234e65df2ecb0c2f0166
45,69,0x114000,16384,58ed11ff66ad956e87cb33602548896fdd1953de1d51ad112e3565382c9a9643
46,70,0x118000,16384,831eccb67fe523b5900b06bb6cdbefd602eb034c9cfcad58445569c410d88089
47,71,0x11C000,16384,ca11b4da4c07655caa48e610f189a9584e785e4c376a10b00cfe8262f0e03788
48,72,0x120000,16384,a22146774285e912aadc981ea4e5d42705842cf879bc0446268a1ea703886a66
49,73,0x124000,16384,3ffeaf4ea56366c19439077f09d59d8ab6b835d56ead632e1febea5e8148abf6
4A,74,0x128000,16384,3af47488b742bab8def5b6c55c01db8a6d4a7a9ae42e5ed02595be6ff71ceb3c
4B,75,0x12C000,16384,db2d9abe907a171e41c6bdf3292bf87dcf638152c2a71b992de1544110a50221
4C,76,0x130000,16384,2a8fcbb5ee067b85c53a58602f15144d3b85ca310827bcb2b90e47fa6d43f76a
4D,77,0x134000,16384,c7ee924aec1dc13328c8b5cc198dccb307e14e01ae6cb48b1fcca80fb990f013
4E,78,0x138000,16384,c0271da22603c424df7b67a9e13a17b6e74a462ba2f5d41e96622fc190f7240e
4F,79,0x13C000,16384,504c24bafc66e177cab658625d795c8870192d70341af2f2b1223ddef9e49f1f
50,80,0x140000,16384,76b2c9abae1945f8ffd00f68f02adbe6fd87798933dee4893f66723672841ed9
51,81,0x144000,16384,eeaebb08764b44435ffd9534d4461efffbacc23da36752c5ffa4df0513d38619
52,82,0x148000,16384,b79e51e2f930dfa7c1b1ebaa32970a16d741ef3dab4ec54bd1387cc3447b0e79
53,83,0x14C000,16384,2d3e2ee5f0d620f2a01a67cebb7cd60c737da989c15e9a44f5354e4d1045e1e1
54,84,0x150000,16384,6ef0ff0e2c43f1c9c68d9853b8a04efd0c27e589ebac0583872d204ed64eba4c
55,85,0x154000,16384,93f735bc622dcc7684a6fe76611143c9bbe464b7b949b475a1e3cc6c61aff68d
56,86,0x158000,16384,0fb8d02dd03a2a9e00ae848eac20ae8a4a826c726a8b5f13b0c1965b2f76edcd
57,87,0x15C000,16384,a05a674167b28238d531f94e76772262e6f404a42d0e0e8f161e40a6c2818169
58,88,0x160000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
59,89,0x164000,16384,28d2e16909d3be1f4598d82ff59043a77ce57a0d761cd64704e4479757a8f50c
5A,90,0x168000,16384,4fecc9d767499fa79f150a5def5d4161eb8f1cabeede130849789cd5a5a0f953
5B,91,0x16C000,16384,6f928361ebe82d045a28530b17509c440c330d66cbd6ed97258dfca00ba1f674
5C,92,0x170000,16384,b3d63a98e64c32eb2f7c4f0d1005cafec04cbf7c943b0f0bf1e8deac5b3eb91d
5D,93,0x174000,16384,96d158f773dd4834e955a910d7d8447f55a6097d2a9a731c0028983fcea2b991
5E,94,0x178000,16384,2b48154c1cde7246efc54c78229a7519c74b4f7de0b1d7645f279f4c79425f0e
5F,95,0x17C000,16384,2966e670d751bcaa3acd499e38a80a24a13e49e4efc05d470efbbc64bb3d1300
60,96,0x180000,16384,69834f382ebc31062c96eb55052bdab440b1f7555b2481cdebeca30e2a947113
61,97,0x184000,16384,b5f13992f9403b207ca34506ac523f19863a9a7c8bddecec62211de8b20db127
62,98,0x188000,16384,9a0fbb98876113e0cf183ffa1ef2d2663edf6cd28e0bdc42a0180491a43ee55f
63,99,0x18C000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
64,100,0x190000,16384,ef897f53022363c8427fc79de789136898c3cc2fa5df640f0effecd262171a95
65,101,0x194000,16384,a67b880a6a48a25f1bd862d9f6c71fe2aa3c36df7fc2c8e20df124616d911878
66,102,0x198000,16384,353eb59af8f94669bb4990a3cafaf5010149f7283e850254c64e7174e0f14de7
67,103,0x19C000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
68,104,0x1A0000,16384,3d06bd2200a939d45185adf691cc424f99c69d89b229b1d1c7841ee5eedc0ab4
69,105,0x1A4000,16384,ff84c69d65f710d14c3abc537b87d923137353ae3527577a20b2b4e3a0d22bd8
6A,106,0x1A8000,16384,652cfbfb363fc52a30dee1b1310abf1dc98570759559a1369676070d1d5e98fb
6B,107,0x1AC000,16384,eb98a0212790fb33c9c75586ebef779e8dd952947b9ddd821747b89c37eb368d
6C,108,0x1B0000,16384,1e876196b6409c81277a3a4aa89d381d2669859d11218968541f16d987931501
6D,109,0x1B4000,16384,4a60838cfb42e0e403c000c60ce8bb563bcb5962f979ed8fd2416d6de7b0040d
6E,110,0x1B8000,16384,f2479bad03a0f9492d310389908db32c20d99af6dd2639731aea5b8a51ee65b8
6F,111,0x1BC000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
70,112,0x1C0000,16384,016f48acedce996791cafba39711368b049cc32f17ab4d691fb7ca21aaa04363
71,113,0x1C4000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
72,114,0x1C8000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
73,115,0x1CC000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
74,116,0x1D0000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
75,117,0x1D4000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
76,118,0x1D8000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
77,119,0x1DC000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
78,120,0x1E0000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
79,121,0x1E4000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
7A,122,0x1E8000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
7B,123,0x1EC000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
7C,124,0x1F0000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
7D,125,0x1F4000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
7E,126,0x1F8000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
7F,127,0x1FC000,16384,b4cdbeddf184972e4e37a02bfbde50ce4ae5f30f46e76dc380ec36a3664330fe
