bank_hex,bank_index,offset_start_hex,size_bytes,sha256
00,0,0x000000,16384,6bf673ddeb60645e886c2203f2a12e90a64a60fcbaf0052b7716424bae82b28d
01,1,0x004000,16384,7a99f7ce5389555c5602fdb73a8ff8bcb0d7b1840f63e6a15b532059c164b2cb
02,2,0x008000,16384,d8591cc110115d7a8d1b01ce9ff4537209b502cc77643dd8099c6098c863bdfc
03,3,0x00C000,16384,94323d0b1b11469ac05a82d6be308d5d0b4315b9c9537b536159cc2be5a77c00
04,4,0x010000,16384,bcc84a0df1e8c061104f51750d3566787e65226d13fd009baf91a260e5577e10
05,5,0x014000,16384,3131693a60bca4c76ff7a2c5fa727b1e97f9c4f260a5800b08d2f7555cb4e8dd
06,6,0x018000,16384,57b159ed057e6d1c411285bd3e42b8cfbb585aebec6010ed3103a308d0454395
07,7,0x01C000,16384,937e2835b55be72dc702952d75e11a8f8c80f22aa2860585f8d055501175ef4b
08,8,0x020000,16384,ecc38d12f2dd1b7f26564d0899eb73621294b6ec1e82dc17558bf634893993ba
09,9,0x024000,16384,eda937c4ecf5e0c7d00d0f8fcb5c87a7802ae806840491dcd136bfc033db5fac
0A,10,0x028000,16384,22dea56ad65df4ae2981cb0582d7c21b677c5aec0e735d2c03427bc7bddf34d0
0B,11,0x02C000,16384,b1a50353c7382843916597e40bdddbd902710504540ee1dd0532adb09141b48c
0C,12,0x030000,16384,a22dd0b839a1b26e85c6e53a9fec54b54a4ca0fbacb226fa127359a263736d47
0D,13,0x034000,16384,52e3e731b289f01cee7f971e5e75029e903e769baeb5cf5182157d536fa78d3c
0E,14,0x038000,16384,6d8a075b34f2aec8a61f8740460c711e3a689e566a2db848e00c93d167c765ee
0F,15,0x03C000,16384,788f509cdadfc12bab51c9de875eeca701eada89c4f919113aa3ef9dcd461759
10,16,0x040000,16384,9a4f7d7ce9aaa5e275fbd67f6cd96515318b16bfa274cf06340ba1d90ab0793b
11,17,0x044000,16384,d8cdb3ad26efe57292e9f120895dd807d00b8bcfcfe13600862db18669753ec4
12,18,0x048000,16384,43096be9cdcad3338c9a02f13c8ddcbeab93bb10fdee8cb3dc2ebf568c4da44a
13,19,0x04C000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
14,20,0x050000,16384,5ca53be7e67c0501596f4e1f37b6bb3501ee9c452d3fe94cffd6644f39c1a00a
15,21,0x054000,16384,a0deb2987e30da8dd01516ccf2ea3ed3c01e14943911ec2b4cd9f890162bf3c3
16,22,0x058000,16384,a802c16daddbe0d5e96c98dd6d46940c344997ba548dd9b116a35dd89d215983
17,23,0x05C000,16384,b00faa3dc29234a940c6dc8ea8a6f2ba0c1d90e184d32c30e0c9c6beb49a6abc
18,24,0x060000,16384,cb72c4b00fe41dec9e0f806011da24f50ce8792cc56801a9136ce2023c536830
19,25,0x064000,16384,e178018c2d4ce64ff84b966ab22d54cffe8f6cf0ac52318d1fa9a9303b5d498a
1A,26,0x068000,16384,4ec670941a64598ed462856488dbe40da1698c674bfa4c437ad7bae417b4300a
1B,27,0x06C000,16384,2ccb250102cf973783a1a26beb151fb66c995e39f64669c2130acf458ac50f15
1C,28,0x070000,16384,7c941d0ab4c5a09cf014c72ec44fdebaf7a9c5b46bb4ba478516affac01e3791
1D,29,0x074000,16384,b3335f8aa8ea2686e4ebea61b142c22d65e9ef3e480955fabfbcf60d311796b3
1E,30,0x078000,16384,223c7b6d9d94f9822d56b22c80cf08df6396c87c7a986aaca6d2a160e78ca7d1
1F,31,0x07C000,16384,7d57d15094a9c038ca1b9acf2e32de6d5d3543c4e9a5795038bee146484d3d4e
20,32,0x080000,16384,f8af484ac6fc27e07c2f579ebdc02172727124258a758e530e8f332f43775452
21,33,0x084000,16384,6f621f9b63afc16566384234463f86a7186e9382425bc1c8f00b956d8edb501a
22,34,0x088000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
23,35,0x08C000,16384,2c6873065d0c75e446e8b23c6c1bb930da268310657ab95abf1ef8e200af8999
24,36,0x090000,16384,78f57da08ce7d3391270903a10c409296965c016a6a3e271b1cec26569c075ef
25,37,0x094000,16384,c0c2bb9f4c4d09b6752edcc856568095cb2138cfd489005242890079fb9f1d9a
26,38,0x098000,16384,094092cd33054454a9a636bb45ec976178d2683d0f40cf8d278636a3aa90a75d
27,39,0x09C000,16384,cca6573c817ed5eacbb3ee8de81c2f936519cc1ca65a473235f6bfac95b9811c
28,40,0x0A0000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
29,41,0x0A4000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
2A,42,0x0A8000,16384,d3e7c5b2611ead5571d43c4d0881de81cc1547e29d5aaa5e5c0696733c4e85bc
2B,43,0x0AC000,16384,a60a9c343221efff4ed426bd310d46261a030a6824071944d081905eb7074057
2C,44,0x0B0000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
2D,45,0x0B4000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
2E,46,0x0B8000,16384,d3517bbfc41badce5ba160b2d2152b7b82af91a7ff8998f37da0dc6ba162875e
2F,47,0x0BC000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
30,48,0x0C0000,16384,4a4bf9ecbb1b7a8fc36687f4d3a7428464d12353c17c27f096fa5e6bd2229ef5
31,49,0x0C4000,16384,ca515b0f37c993dd19c768c1b4ecea43aff274d3ea0e51aad073883592697c35
32,50,0x0C8000,16384,e743ae509c972da776ca06a08936026f20643b0ba16acc7cdf7b76e401e7a40f
33,51,0x0CC000,16384,95a09ab3fa74055437804ffa6eea801d02e775c5e10cbbc5452dd093c365292c
34,52,0x0D0000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
35,53,0x0D4000,16384,4fe7b59af6de3b665b67788cc2f99892ab827efae3a467342b3bb4e3bc8e5bfe
36,54,0x0D8000,16384,01d0c831a3a1f681ad103887e0184b712f773d9c3da5070da3ca52a40124557e
37,55,0x0DC000,16384,88f10cbfed5b30c41f4ccf66a44716609a1237d81f7e592ddd893a25deeb4233
38,56,0x0E0000,16384,3334ed4d56f5ff625014ea3149f0a0c1d7ed3ea02942fb228d1996033a35b0a9
39,57,0x0E4000,16384,ea830e84720a2e8e92a04fa0b3e04c526ec39236deb14a765f6f78b2dee149a0
3A,58,0x0E8000,16384,413e99c6c808881835e8cfe394cf8ff6ea2a0ab2fa6d3c3434ecaea67a3c1d46
